audio_name,artist,title,year,energy_truth,energy_ml,dance_truth,dance_ml,valence_truth,tempo_bpm,duration_sec,loudness_LUFS,energy_feature,danceability_feature,valence_feature,notes,energy_feature_band,danceability_feature_band,triage_tag_energy,triage_tag_dance
2017_ed_sheeran__shape_of_you__album,Ed Sheeran,Shape of You,2017,mid,hi,hi,hi,mid,129.19921875,231.0849886621315,-17.382715406812043,0.361187684150181,0.33507028141151934,0.5644750736600723,Caribbean-inflected pop; heavy on groove with mid valence.,mid,lo,truth_feat_agree_ml_diff,truth_ml_agree_feat_diff
2017_luis_fonsi_daddy_yankee_ft_justin_bieber__despacito__single,Luis Fonsi & Daddy Yankee feat. Justin Bieber,Despacito (Remix),2017,mid,hi,hi,hi,mid,89.10290948275862,228.1128344671202,-17.854215303532325,0.3775626590982961,0.4396050338207129,0.5710250636393184,Reggaeton-pop crossover; rhythmic sensual.,hi,mid,ml_feat_agree_truth_diff,truth_ml_agree_feat_diff
2018_calvin_harris_dua_lipa__one_kiss__album,Calvin Harris & Dua Lipa,One Kiss,2018,hi,hi,hi,hi,mid,123.046875,212.50902494331066,-17.393361831999076,0.3695240907827704,0.4960899692673656,0.5678096363131081,House-pop; club-focused hi-dance cut with a cool mid-valence feel.,mid,mid,truth_ml_agree_feat_diff,truth_ml_agree_feat_diff
2019_dua_lipa__dont_start_now__album,Dua Lipa,Don't Start Now,2019,hi,hi,hi,hi,mid,123.046875,182.04444444444445,-17.622510228102104,0.3865560508194528,0.4480596841021015,0.5746224203277811,Nu-disco pop; high-energy and very danceable.,hi,mid,all_agree,truth_ml_agree_feat_diff
2020_dua_lipa__levitating__album,Dua Lipa,Levitating,2020,hi,hi,hi,hi,mid,103.359375,202.84952380952382,-17.896128462560856,0.3686783170942151,0.5131444496745753,0.5674713268376861,Another nu-disco cut; strong groove and fun tone.,mid,mid,truth_ml_agree_feat_diff,truth_ml_agree_feat_diff
2020_harry_styles__watermelon_sugar__album,Harry Styles,Watermelon Sugar,2020,hi,mid,hi,hi,hi,95.703125,173.87102040816328,-17.786724547008536,0.36519727464829776,0.4356372833328846,0.5660789098593191,Summery retro-pop; bright high-energy feel; very singalong and fun.,mid,mid,ml_feat_agree_truth_diff,truth_ml_agree_feat_diff
2020_the_weeknd__blinding_lights__album,The Weeknd,Blinding Lights,2020,hi,hi,hi,hi,mid,86.1328125,200.6204081632653,-17.68952181331732,0.35478740956657545,0.47513041407348805,0.5619149638266302,Feels like ~85.5 BPM double-time; retro synthwave pop.,lo,mid,truth_ml_agree_feat_diff,truth_ml_agree_feat_diff
2023_tyla__water__single,Tyla,Water,2023,hi,lo,hi,hi,mid,156.60511363636363,199.87736961451247,-17.552090018866952,0.37352702291965373,0.2316966909055631,0.5694108091678615,Afro-pop club track; very danceable; sensual mid-valence tone.,mid,lo,all_disagree,truth_ml_agree_feat_diff
2024_kendrick_lamar__not_like_us__single,Kendrick Lamar,Not Like Us,2024,hi,hi,hi,hi,mid,101.33272058823529,273.43818594104306,-17.175859384564237,0.3371693721086302,0.49233422824694206,0.554867748843452,West Coast club rap; very high energy; very danceable; aggressive but fun.,lo,mid,truth_ml_agree_feat_diff,truth_ml_agree_feat_diff
2024_sabrina_carpenter__please_please_please__album,Sabrina Carpenter,Please Please Please,2024,mid,lo,mid,mid,mid,107.666015625,185.0165986394558,-18.315439861830956,0.3557311917593764,0.5458845359896958,0.5622924767037505,Mid-tempo pop; steady rhythmic feel; playful yet slightly tense mood.,lo,hi,ml_feat_agree_truth_diff,truth_ml_agree_feat_diff
2025_alex_warren__ordinary__single,Alex Warren,Ordinary,2025,mid,lo,lo,lo,mid,112.34714673913044,186.50267573696146,-18.958532079120264,0.35165290143899164,0.5406124982840589,0.5606611605755967,"Heartfelt 2025 summer ballad; moderate tempo, steady build, emotionally romantic but more intimate than euphoric.",lo,hi,ml_feat_agree_truth_diff,truth_ml_agree_feat_diff
